,st,et
0,201006111400,201006111500
1,201005240200,201005240300
2,201006281300,201006281400
3,201006182100,201006182200
4,201006231500,201006231600
5,201006100200,201006100300
6,201005260500,201005260600
7,201005062000,201005062100
8,201005091200,201005091300
9,201005030000,201005030100
10,201006220600,201006220700
11,201006180700,201006180800
12,201005190100,201005190200
13,201006171300,201006171400
14,201005230300,201005230400
15,201006030600,201006030700
16,201005111300,201005111400
17,201005111500,201005111600
18,201006210600,201006210700
19,201005240500,201005240600
20,201006082200,201006082300
21,201006240400,201006240500
22,201005262100,201005262200
23,201005032200,201005032300
24,201005230000,201005230100
25,201006030600,201006030700
26,201005292000,201005292100
27,201005311100,201005311200
28,201005021900,201005022000
29,201006071600,201006071700
30,201006260200,201006260300
31,201005270200,201005270300
32,201006271700,201006271800
33,201006040800,201006040900
34,201005282000,201005282100
35,201006122200,201006122300
36,201005181500,201005181600
37,201005112100,201005112200
38,201005261700,201005261800
39,201005280100,201005280200
40,201005161200,201005161300
41,201005070500,201005070600
42,201006191600,201006191700
43,201006090700,201006090800
44,201005020100,201005020200
45,201005081100,201005081200
46,201006011300,201006011400
47,201006241500,201006241600
48,201006121100,201006121200
49,201005300100,201005300200
50,201006251900,201006252000
51,201005272000,201005272100
52,201005082200,201005082300
53,201005072200,201005072300
54,201005160800,201005160900
55,201006021000,201006021100
56,201006261800,201006261900
57,201006150800,201006150900
58,201005221500,201005221600
59,201005221100,201005221200
60,201005090700,201005090800
61,201005141900,201005142000
62,201006232300,201006240000
63,201005070100,201005070200
64,201005210300,201005210400
65,201006060500,201006060600
66,201005180400,201005180500
67,201006132000,201006132100
68,201006020000,201006020100
69,201006210100,201006210200
70,201006250200,201006250300
71,201006271100,201006271200
72,201005140700,201005140800
73,201005231700,201005231800
74,201005122000,201005122100
75,201006012000,201006012100
76,201006061100,201006061200
77,201005302300,201005310000
78,201005082200,201005082300
79,201006021500,201006021600
80,201005032100,201005032200
81,201006190400,201006190500
82,201005021100,201005021200
83,201005291000,201005291100
84,201006250900,201006251000
85,201006112100,201006112200
86,201006291900,201006292000
87,201005080300,201005080400
88,201005081900,201005082000
89,201005281400,201005281500
90,201005250000,201005250100
91,201006132300,201006140000
92,201005191600,201005191700
93,201005150600,201005150700
94,201005212100,201005212200
95,201005111200,201005111300
96,201005011500,201005011600
97,201006081100,201006081200
98,201006181100,201006181200
99,201005212000,201005212100
